                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4643,                0.98436,                 1.2448,                0.63372,                0.57499,                0.60347,                0.36207,                 1.4694,                0.97411,                 1.1752,              0.0097426,              0.0097426,              0.0097426
                     54,                 1.4761,                0.99303,                 1.2483,                0.61981,                 0.5976,                0.61011,                0.37124,                 1.4855,                0.97105,                 1.1863,              0.0097377,              0.0097377,              0.0097377
                     55,                 1.4785,                0.98968,                 1.2447,                0.66518,                 0.5591,                0.60638,                0.36761,                 1.4815,                0.96756,                 1.1882,              0.0097327,              0.0097327,              0.0097327
                     56,                  1.453,                0.97667,                 1.2352,                0.69013,                0.56933,                 0.6097,                0.36779,                 1.4787,                 0.9768,                 1.1833,              0.0097278,              0.0097278,              0.0097278
                     57,                 1.4533,                0.96216,                 1.2409,                   0.63,                0.58914,                0.60505,                0.36693,                 1.4695,                0.96656,                 1.1824,              0.0097228,              0.0097228,              0.0097228
                     58,                 1.4359,                0.96028,                  1.232,                0.73114,                0.56889,                0.61477,                0.37387,                 1.4717,                0.94856,                 1.1872,              0.0097179,              0.0097179,              0.0097179
                     59,                 1.4367,                0.95487,                 1.2299,                 0.6509,                0.59875,                 0.6109,                0.36466,                 1.4608,                 0.9415,                 1.1769,              0.0097129,              0.0097129,              0.0097129
                     60,                 1.4232,                0.94049,                  1.228,                0.68324,                0.59855,                 0.6284,                0.37997,                 1.4642,                0.94268,                 1.1794,               0.009708,               0.009708,               0.009708
                     61,                 1.4209,                0.93268,                 1.2242,                0.65039,                0.58256,                0.61174,                0.38159,                 1.4569,                0.93424,                 1.1749,               0.009703,               0.009703,               0.009703
                     62,                 1.4261,                0.94172,                 1.2176,                0.70041,                0.59142,                0.61883,                0.37286,                 1.4562,                0.94961,                 1.1798,               0.009698,               0.009698,               0.009698
                     63,                 1.4224,                0.93245,                 1.2207,                0.71015,                0.58451,                 0.6307,                0.38147,                 1.4251,                0.92952,                 1.1617,              0.0096931,              0.0096931,              0.0096931
                     64,                 1.4195,                0.92305,                 1.2126,                0.66718,                0.59815,                0.62402,                0.37134,                 1.4277,                0.92043,                 1.1641,              0.0096881,              0.0096881,              0.0096881
